epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,4772.11,0.46415,0.33994,1.09339,0.99668,0.99131,0.99383,0.94296,0.36059,0.20365,0.9668,0.0001139,0.0001139,0.0001139
80,4832.62,0.46512,0.34076,1.09594,0.99643,0.99206,0.99406,0.94114,0.36178,0.20407,0.96805,0.00010895,0.00010895,0.00010895
81,4892.9,0.46894,0.34203,1.09871,0.99536,0.99251,0.99404,0.94405,0.36195,0.20295,0.96748,0.000104,0.000104,0.000104
82,4953.09,0.4714,0.34995,1.10315,0.99628,0.99201,0.99405,0.94244,0.35986,0.20228,0.96662,9.905e-05,9.905e-05,9.905e-05
83,5013.33,0.45949,0.33653,1.09235,0.99665,0.99191,0.99437,0.94316,0.35957,0.20107,0.9661,9.41e-05,9.41e-05,9.41e-05
84,5073.77,0.4606,0.33384,1.09339,0.99674,0.99225,0.99427,0.94451,0.35939,0.20268,0.96563,8.915e-05,8.915e-05,8.915e-05
85,5134.2,0.45464,0.32091,1.09001,0.99679,0.99205,0.99419,0.94547,0.35787,0.20263,0.96397,8.42e-05,8.42e-05,8.42e-05
86,5194.46,0.47217,0.34698,1.10709,0.99686,0.99264,0.99424,0.94551,0.35599,0.20203,0.96259,7.925e-05,7.925e-05,7.925e-05
87,5255.08,0.46359,0.34767,1.09465,0.99632,0.99287,0.99389,0.9444,0.35665,0.20168,0.96255,7.43e-05,7.43e-05,7.43e-05
88,5315.91,0.46186,0.33519,1.09451,0.9967,0.99222,0.99389,0.94529,0.35885,0.20125,0.96364,6.935e-05,6.935e-05,6.935e-05
89,5376.2,0.45753,0.33504,1.09007,0.99686,0.99193,0.99388,0.94365,0.35986,0.20065,0.96585,6.44e-05,6.44e-05,6.44e-05
90,5436.39,0.45943,0.3434,1.09313,0.99673,0.99209,0.9939,0.94329,0.35816,0.19988,0.96409,5.945e-05,5.945e-05,5.945e-05
91,5496.96,0.30621,0.22876,1.0527,0.99502,0.99128,0.99279,0.94269,0.36467,0.20902,0.97391,5.45e-05,5.45e-05,5.45e-05
92,5557.28,0.29268,0.20213,1.03696,0.99467,0.99046,0.99267,0.94477,0.36279,0.20891,0.97018,4.955e-05,4.955e-05,4.955e-05
93,5617.39,0.29775,0.20768,1.03805,0.9948,0.99025,0.99261,0.94434,0.3643,0.20942,0.97159,4.46e-05,4.46e-05,4.46e-05
94,5677.26,0.29231,0.20058,1.03817,0.99471,0.99027,0.9926,0.94463,0.36292,0.20832,0.97055,3.965e-05,3.965e-05,3.965e-05
95,5737.47,0.29093,0.19968,1.04259,0.99469,0.99021,0.99262,0.94387,0.36137,0.20649,0.96729,3.47e-05,3.47e-05,3.47e-05
96,5797.53,0.29612,0.18935,1.03815,0.99476,0.99047,0.99281,0.94431,0.36168,0.20524,0.96721,2.975e-05,2.975e-05,2.975e-05
97,5857.47,0.28745,0.18405,1.03087,0.99465,0.99058,0.99281,0.94553,0.3603,0.20409,0.96642,2.48e-05,2.48e-05,2.48e-05
98,5917.64,0.29156,0.19471,1.03525,0.99463,0.99049,0.99277,0.94685,0.35933,0.20385,0.96554,1.985e-05,1.985e-05,1.985e-05
99,5977.52,0.28941,0.19155,1.03735,0.99463,0.99028,0.99278,0.94698,0.35854,0.20455,0.96418,1.49e-05,1.49e-05,1.49e-05
100,6037.6,0.28649,0.19251,1.03381,0.99475,0.99035,0.99279,0.94633,0.35905,0.20516,0.96457,9.95e-06,9.95e-06,9.95e-06
